id,position,question,allowed_answers,your_answer_judge3,comment
dqat:covered:angry:t1,62,"Which option gives the meaning of the word ""angry""?
0. {'key': 'A', 'text': 'this something happens at some time; after this time, it is not happening; people can know: it happened (before).'}
1. {'key': 'B', 'text': ""something of one kind, not a thing; people can see it; it moves; when someone is near it, this someone's body feels something; if it touches the body, something very bad happens to the body; if it touches things, something very bad can happen to these things""}
2. {'key': 'C', 'text': 'a thing of one kind; people make things of this kind; it is big: people can be inside it; people live inside things of this kind; when much water moves from the sky, it does not touch the people inside'}
3. {'key': 'D', 'text': ""this someone thinks like this: 'someone did some bad something before now; I don't want it; I want to do something (because of this)'; because of this, this someone feels something bad.""}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:angry:t2,319,"A word whose definition is: ""this someone thinks like this: 'someone did some bad something before now; I don't want it; I want to do something (because of this)'; because of this, this someone feels something bad."". Which word is it?
0. {'key': 'A', 'text': 'liar'}
1. {'key': 'B', 'text': 'reminder (the made something)'}
2. {'key': 'C', 'text': 'maker of (X is the maker of Y)'}
3. {'key': 'D', 'text': 'angry'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:angry:t3,256,"According to the definition of ""angry"", is the following true of angry? ""I want to do something (because of this)'"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:animal:t3,15,"According to the definition of ""animal"", is the following true of animal? ""it is not someone: it cannot say words, it cannot think like people can think"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:archived (bookmark boolean property):t3,48,"According to the definition of ""archived (bookmark boolean property)"", is the following true of archived (bookmark boolean property)? ""When archived is true of it, this someone thinks like this: 'I saw this something before now"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:ball:t3,226,"According to the definition of ""ball"", is the following true of ball? ""children do things with it at many times because it feels good"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:bear:t3,216,"According to the definition of ""bear"", is the following true of bear? ""it is not like open: it is the other way"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:begin (happening X begins at time T):t3,86,"According to the definition of ""begin (happening X begins at time T)"", is the following true of begin (happening X begins at time T)? ""because there is this something, this someone can do many more-good things"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:bookmark:t1,252,"Which option gives the meaning of the word ""bookmark""?
0. {'key': 'A', 'text': 'this something happens at some time; after this time, it is not happening; people can know: it happened (before).'}
1. {'key': 'B', 'text': 'this something is a big something of kind event; because some very good something happened before now, it happens; when it happens, many people are happy; when it happens, many people feel something good.'}
2. {'key': 'C', 'text': 'someone did something; because of this, there is this something. There is another something. This something is words; these words say something about that other something. Because there is this something, this someone can know where that other something is.'}
3. {'key': 'D', 'text': 'a thing of one kind; people make things of this kind; there are very many words inside it: people can see these words; when someone sees these words, this someone can know many things because of them; people want things of this kind because of this'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:bookmark:t2,22,"A word whose definition is: ""someone did something; because of this, there is this something. There is another something. This something is words; these words say something about that other something. Because there is this something, this someone can know where that other something is."". Which word is it?
0. {'key': 'A', 'text': 'find (X finds Y)'}
1. {'key': 'B', 'text': 'bookmark'}
2. {'key': 'C', 'text': 'sleep'}
3. {'key': 'D', 'text': 'cat'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:break (X breaks Y):t4,286,"According to the definition of ""break (X breaks Y)"", is the following true of break (X breaks Y)? ""because of this, something bad happened at this time"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:change (the event):t3,95,"According to the definition of ""change (the event)"", is the following true of change (the event)? ""X does something to Y at some time"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:child:t3,314,"According to the definition of ""child"", is the following true of child? ""after a long time, someone of this kind is big, can do many things"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:cry:t3,42,"According to the definition of ""cry"", is the following true of cry? ""there are many small somethings"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:day:t3,57,"According to the definition of ""day"", is the following true of day? ""after this time, for some time people cannot see it"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:eat:t3,118,"According to the definition of ""eat"", is the following true of eat? ""before this time X is happening"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:flower:t3,317,"According to the definition of ""flower"", is the following true of flower? ""because of this, people want these parts to be near them"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:food:t4,136,"According to the definition of ""food"", is the following true of food? ""people do many things because they want these things"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:give (X gives Y to someone):t2,78,"A word whose definition is: ""X does something with Y at some time; before this time X could say 'Y is mine'; after this time another someone can say 'Y is mine' and X cannot."". Which word is it?
0. {'key': 'A', 'text': 'maker of (X is the maker of Y)'}
1. {'key': 'B', 'text': 'end (happening X ends at time T)'}
2. {'key': 'C', 'text': 'give (X gives Y to someone)'}
3. {'key': 'D', 'text': 'close'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:grass:t3,25,"According to the definition of ""grass"", is the following true of grass? ""when people move on them, the body feels something good"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:helpful (of a someone):t3,20,"According to the definition of ""helpful (of a someone)"", is the following true of helpful (of a someone)? ""someone does something of one kind to a thing"" Answer yes or no.","['yes', 'no', 'cannot say']",,
"dqat:covered:kind (gufo:Kind, sortal type):t1",108,"Which option gives the meaning of the word ""kind (gufo:Kind, sortal type)""?
0. {'key': 'A', 'text': 'some something is of this kind; it cannot not be of this kind; people can know: it is one something; people can know: it is not two somethings; people can know: it is the same something people saw before.'}
1. {'key': 'B', 'text': 'a thing of one kind; people make things of this kind; it is big: people can be inside it; it can move on the ground; when people are inside it when it moves, they can be in another place, very far, after a short time'}
2. {'key': 'C', 'text': ""this something is words. Someone says them to someone else, saying: 'after now I will do something; I know you want it; (because I say this) you can know: after now I will do it.'""}
3. {'key': 'D', 'text': 'this something is words; someone says them to someone else; this someone knows they are not true; this someone says them because this someone wants the other someone to think they are true.'}","['A', 'B', 'C', 'D', 'NONE']",,
"dqat:covered:kind (gufo:Kind, sortal type):t2",308,"A word whose definition is: ""some something is of this kind; it cannot not be of this kind; people can know: it is one something; people can know: it is not two somethings; people can know: it is the same something people saw before."". Which word is it?
0. {'key': 'A', 'text': 'kind (gufo:Kind, sortal type)'}
1. {'key': 'B', 'text': 'light'}
2. {'key': 'C', 'text': 'broken'}
3. {'key': 'D', 'text': 'water'}","['A', 'B', 'C', 'D', 'NONE']",,
"dqat:covered:kind (gufo:Kind, sortal type):t3",353,"According to the definition of ""kind (gufo:Kind, sortal type)"", is the following true of kind (gufo:Kind, sortal type)? ""people can know: it is the same something people saw before"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:laugh:t2,346,"A word whose definition is: ""someone's body does something of one kind: the mouth moves, other people can hear something because of it; someone does not do it because this someone wants it: it happens when this someone feels something very good; when other people hear it, they can feel something good"". Which word is it?
0. {'key': 'A', 'text': 'animal'}
1. {'key': 'B', 'text': 'mouth'}
2. {'key': 'C', 'text': 'laugh'}
3. {'key': 'D', 'text': 'maker of (X is the maker of Y)'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:make (X makes Y):t3,234,"According to the definition of ""make (X makes Y)"", is the following true of make (X makes Y)? ""X happens at some time"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:music:t4,232,"According to the definition of ""music"", is the following true of music? ""people do things because they want other people to hear it"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:reminder (the made something):t3,7,"According to the definition of ""reminder (the made something)"", is the following true of reminder (the made something)? ""because of this, there is this something"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:right (of a doable something):t1,9,"Which option gives the meaning of the word ""right (of a doable something)""?
0. {'key': 'A', 'text': 'X knew this something before now; because X knew it before, X can think about it now; X knows it now.'}
1. {'key': 'B', 'text': 'an animal of one kind; many of them live with people, in the places where people live; when something happens near it, it does something, people can hear this from far; many people feel something good toward them, they feel something good toward people'}
2. {'key': 'C', 'text': 'a thing of one kind; people make things of this kind; it is not like other things: all its sides are the same; when someone does something to it with the hand, it can move on the ground for some time; children do things with it at many times because it feels good'}
3. {'key': 'D', 'text': ""people think like this about this something: 'if someone does it, it is a good something'; people can know: it is a good something.""}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:sky:t3,140,"According to the definition of ""sky"", is the following true of sky? ""many people feel something good when they see one"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:sun:t4,299,"According to the definition of ""sun"", is the following true of sun? ""at this time X happens"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:take (X takes Y):t1,49,"Which option gives the meaning of the word ""take (X takes Y)""?
0. {'key': 'A', 'text': ""if this someone says some words of kind promise, this someone does something after; this someone does not say things of kind lie; other people can think: 'this someone is a good someone'.""}
1. {'key': 'B', 'text': 'the very big place above all other places; when someone is not inside something, this someone can see it above them; the sun is in this place; at some times people can see other things in this place, some of these things move'}
2. {'key': 'C', 'text': 'Y wants to do something; because X does something, Y can do it.'}
3. {'key': 'D', 'text': ""X does something with Y at some time; before this time X could not say 'Y is mine'; after this time X can say 'Y is mine'.""}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:take (X takes Y):t2,53,"A word whose definition is: ""X does something with Y at some time; before this time X could not say 'Y is mine'; after this time X can say 'Y is mine'."". Which word is it?
0. {'key': 'A', 'text': 'sun'}
1. {'key': 'B', 'text': 'sky'}
2. {'key': 'C', 'text': 'take (X takes Y)'}
3. {'key': 'D', 'text': 'maker of (X is the maker of Y)'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:thief:t1,11,"Which option gives the meaning of the word ""thief""?
0. {'key': 'A', 'text': ""X thinks like this about this something: 'it is true'; X does not know that it is true.""}
1. {'key': 'B', 'text': 'a thing of one kind; people make things of this kind; it is big: people can be inside it; it can move on the ground; when people are inside it when it moves, they can be in another place, very far, after a short time'}
2. {'key': 'C', 'text': ""the place below people; when someone moves, this someone's body touches it; all things in a place are above it, on it; some things are inside it, people cannot see these things""}
3. {'key': 'D', 'text': 'because this someone does many things, many somethings of kind take happen; other people do not want somethings of this kind to happen; this someone does not want other people to see this someone.'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:useful (of a something):t3,63,"According to the definition of ""useful (of a something)"", is the following true of useful (of a something)? ""because of this, this someone feels something good"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:visible:t1,337,"Which option gives the meaning of the word ""visible""?
0. {'key': 'A', 'text': 'this something is words; someone says them to someone else; this someone knows they are not true; this someone says them because this someone wants the other someone to think they are true.'}
1. {'key': 'B', 'text': 'something of one kind; people can know it about a thing when they see this thing; two things can be the same in this way; someone cannot know it about a thing if this someone cannot see; there are many kinds of it'}
2. {'key': 'C', 'text': 'if someone wants to see this something, this someone can see it; people can see it.'}
3. {'key': 'D', 'text': 'before now, some something of kind lose happened; someone does not know now at which place this something is.'}","['A', 'B', 'C', 'D', 'NONE']",,
